URL,Car Name,Car Year,Location,Price,Description,Mileage (KM),Engine Capacity (L),پیشرانه,Acceleration (s),Fuel Consumption (L/100km)
https://bama.ir/car/detail-ci1czmrr-dena-plusef7p-6mt-1403,Dena Plusef7P 6Mt,2024,تهران / تهرانپارس غربی,960000000.0,No description,0.0,1.7,4 سیلندر EF7P,12.0,6.9
https://bama.ir/car/detail-wbl1s7co-ssangyong-tivoli-elite-2017,Ssangyong Tivoli Elite,2017,مشهد / بلوار سجاد,1900000000.0,ماشین در حد صفر میباشد,8400.0,1.6,4 سیلندر,12.5,7.2
https://bama.ir/car/detail-gpybehql-atlas-g-mt-1403,Atlas G Mt,2024,ابرکوه,610000000.0,No description,0.0,1.5,4 سیلندر بهبودیافته (M15i),,6.8
https://bama.ir/car/detail-yl1s2zhg-runna-plus-1403,Runna Plus,2024,تهران / تهرانپارس غربی,,"تحویل روز 
موجود در نمایندگی 
",0.0,1.6,4 سیلندر TU5 یورو5,12.0,6.9
https://bama.ir/car/detail-rlh5tfmg-lamari-eama-1403,Lamari Eama,2024,تهران / نیاوران,,"⚜️اتو خطیب اصالت یک برند ⚜️⭐️ کارشناس شما خانم امیری⭐️
✅عضو رسمی اتحادیه تهران و شمیرانات
✅ با تحویل 24ساعته
✅فروش به صورت نقد واقساط با قرارداد اتحادیه وسند بنام خریدار بدون ضامن
✅سند آزاد و پلاک شده
✅بیمه و گارانتی
✅ارائه خدمات به تهران و شهرستان، ☎️کارشناس فروش خانم پارسا⏰ساعت مراجعه شنبه تا چهارشنبه :8:30 تا 16:30
پنج شنبه: 8:30 تا 14:00",0.0,1.5,4 سیلندر توربوشارژ (4A95TD),9.5,
https://bama.ir/car/detail-fwhy9ugb-volkswagen-id4crozz-pure-2024,Volkswagen Id4Crozz Pure,2024,تهران / سعادت‌آباد,2590000000.0,"گروه خودرویی دلیلی بزرگترین شبکه نمایندگی های مجاز خودرویی در ایران
حواله به صورت نقد
تحویل 120 روز کاری
قیمت علی الحساب
برای اطلاعات بیشتر با کارشناسان مادر ارتباط باشید",0.0,,1 موتور الکتریکی,9.0,
https://bama.ir/car/detail-h1xyravh-lamari-eama-1403,Lamari Eama,2024,تهران / نیاوران,,"⚜️اتو خطیب اصالت یک برند ⚜️⭐️ کارشناس شما خانم امیری⭐️
✅عضو رسمی اتحادیه تهران و شمیرانات
✅ با تحویل 24ساعته
✅فروش به صورت نقد واقساط با قرارداد اتحادیه وسند بنام خریدار بدون ضامن
✅سند آزاد و پلاک شده
✅بیمه و گارانتی
✅ارائه خدمات به تهران و شهرستان، ☎️کارشناس فروش خانم پارسا⏰ساعت مراجعه شنبه تا چهارشنبه :8:30 تا 17:30
پنج شنبه: 8:30 تا 14:00",0.0,1.5,4 سیلندر توربوشارژ (4A95TD),9.5,
https://bama.ir/car/detail-hj1kcvop-lamari-eama-1403,Lamari Eama,2024,تهران / نارمک,,"نمایندگی فروش و خدمات ۲۱۰۶ ستوده 
ثبت نام برای عموم آزاد میباشد 
آخرین دوره ثبت نام لاماری ایما در سال 403 
تعداد محدوود / ثبت نام حضوری و غیر حضوری تحویل ۹۰ روزکاری /بیمه ، گارانتی رنگ،",0.0,1.5,4 سیلندر توربوشارژ (4A95TD),9.5,
https://bama.ir/car/detail-fcqorrnh-fidelity-prime-7seater-1403,Fidelity Prime 7Seater,2024,تهران / نیاوران,,"خانم امیری کارشناس فروش شما
اتوخطیب اصالت یک برند
مالیات نقل و انتقال خودرو توسط فروشنده پرداخت شده
مرجع تخصصی تمامی خودرو های صفر مونتاژ 
و کلیه خودروهای وارداتی ها 
عضو رسمی اتحادیه شمیرانات 
امکان خرید اقساط سند بنام 
تحویل روز تا ۲۴ ساعت با امکان بازدید
سند ازاد
بیمه و گارانتی 
امکان کارشناسی خودرو قبل از تحویل 
امکان خرید و ارسال تلفنی به سراسر ایران 
اموزش اپشن ها
ساعت کاری مراجعه حضوری مجموعه و بازدید ۸:۳۰ الی۱۶:۳۰",0.0,1.5,4 سیلندر توربوشارژ (4T15C),11.9,8.1
https://bama.ir/car/detail-5sqyvqdc-dignity-prestige-1403,Dignity Prestige,2024,تهران / رسالت,,به صورت نقد و اقساط،تحویل هم زمان با پیش پرداخت اقساط ۳۰ ماهه بدون ضامن، سند به نام خریدار. لطفا برای اطلاع بیشتر از شرایط، با کارشناسان ما در فرنام خودرو در تماس باشید.,0.0,2.0,4 سیلندر توربوشارژ,10.5,8.3
https://bama.ir/car/detail-nruwctxr-changan-cs55plus-1.5liter-2024,,,تهران / نیاوران,,"💎خانم امیری کارشناس فروش شما💎
مالیات نقل و انتقال خودرو توسط فروشنده پرداخت شده
اتوخطیب مرجع تخصصی تمامی خودرو های صفر مونتاژ 
و کلیه خودروهای وارداتی ها 
عضو رسمی اتحادیه شمیرانات 
امکان خرید اقساط سند بنام فقط با چک صیاد 
تحویل روزنهایت تا ۲۴ ساعت با امکان بازدید
بیمه و گارانتی کامل 
خودرو صفرکیلومتر پلاک شده
انتخاب رنگ خودرو به دلخواه شما 
امکان کارشناسی خودرو قبل از تحویل
امکان اقساط برای تمام شهرهای ایران بدون ضامن 
اموزش اپشن ها
ساعت کاری مراجعه حضوری مجموعه و بازدید ۸:۳۰ الی۱۶:۳۰",0.0,1.5,4 سیلندر توربوشارژ (JL473ZQ7),,6.6
https://bama.ir/car/detail-ywx3panr-maxmotor-kalut-attype2-1403,Maxmotor Kalut Attype2,2024,تهران / سعادت‌آباد,,"گروه خودرویی دلیلی بزرگترین شبکه نمایندگی های مجاز خودرویی در کشور
فروش نقد و اقساط 
تحویل 45 روز کاری
برای اطلاعات بیشتر با کارشناسان مادرارتباط باشید",0.0,2.4,4 سیلندر توربوشارژ (4K22),,12.6
https://bama.ir/car/detail-vz1j3mqe-kmc-a5-1.5literturbo-1403,,,تهران / شهرک راه‌آهن,,"✨بنام خداوند روزی دهنده✨
شرکت مهام خودرو بی نظیر با شماره ثبت ۶۰۸۰۴۱
عاملیت فروش محصولات بهمن_کرمان_مدیران_ایران خودرو و سایپا
با بیش از ۱۵سال سابقه درخشان در زمینه خرید و فروش انواع خودرو های صفر و کارکرده
تحویل فوری
سندآزاد مدارک خودرو تکمیل و آماده انتقال
تسویه خودرو بعد از رویت و کارشناسی خودرو
گارانتی و بیمه شخص ثالث فعال
70 درصد تخفیف بیمه بدنه خودرو
امکان معاوضه با خودروهای شما عزیزان 
مشاوره شما : شجری",0.0,1.5,4 سیلندر توربوشارژ (DG15T),,7.8
https://bama.ir/car/detail-pq1zjahi-peugeot-207-automaticpanoramatu5p-1403,Peugeot 207 Automaticpanoramatu5P,2024,تهران / عباس‌آباد,,ارتقا یافته ،سقف شیشه ایی,0.0,,,,
https://bama.ir/car/detail-vnsayx9x-xtrim-txl-2.0literturbo-1403,,,تهران / سعادت‌آباد,3329800000.0,"*** ثبت نام با قیمت قطعی***
****** ظرفیت محدود ********
خودرویی لوکس با کلاس پریمیوم
شما می توانید جزو اولین دارندگان این خودروی خاص در ایران باشید
نقد و اقساط
موتورو 2 لیتری TGDI از سری موتورهای ACTECO چری با قدرت موتور 261 اسب بخار و 400 نیوتن متر گشتاور
گیربکس 8 سرعته فیوژن ساخت کمپانی آیسین (AISIN) ژاپن
سیستم انتقال قدرت چهار چرخ متحرک AWD یا دو دیفرانسیل
طراحی به روز ، شکیل و اسپرت
صفحه نمایش 12.3 اینچی به هم پیوسته با حالت خمیده",0.0,,,,
https://bama.ir/car/detail-nx9ffoyb-fownix-tiggo8prohybrid-eplus-1403,Fownix Tiggo8Prohybrid Eplus,2024,تهران / سعادت‌آباد,3215400000.0,"امکان بازدید و تست درایو خودرو در شعب نمایندگی 777 
**777تنها دارنده ی مرکز خدمات vip با انبار قطعات مرکزی*** 
با توجه به محدودیت ظرفیت جهت رزرو با قیمت قطعی فقط با شماره درج شده در آگهی تماس حاصل فرمایید .",0.0,1.5,4 سیلندر توربوشارژ (4T15C) با 2 موتور الکتریکی,7.6,1.55
https://bama.ir/car/detail-mrjectar-runna-plus-1403,Runna Plus,2024,تهران / سی متری جی,695000000.0,"توضیحات
⚜️اتوگالری خسروشاهی⚜️
✅امکان تعویض با خودروی کارکرده ی شما با شرایط ویژه
🔴قیمت خودرو به صورت پایه میباشد لطفا برای استعلام قیمت تماس بگیرید🔴
مجوز رسمی و قانونی از اتحادیه نمایشگاه داران خودرو
✅تجربه خرید مطمئن
✅تسویه بعد از تحویل خودرو
✅پلاک شده و سند ازاد
✅یک سال بیمه 
✅ضمانت کارشناسی رنگ بدنه و فنی خودرو 
برای استعلام قیمت تماس بگیرید",0.0,1.6,4 سیلندر TU5 یورو5,12.0,6.9
https://bama.ir/car/detail-rbaa7n8m-fownix-arrizo8-excellent-1403,Fownix Arrizo8 Excellent,2024,تهران / نیایش غرب,2297800000.0,نمایندگی های پورسعیدخلیلی:zap: نمایندگی کد ۳۴۲ مدیران خودرو با بزرگترین شعب فروش و خدمات پس از فروش به همراه بهترین امکانات برای شما مشتریان عزیز :فروش ویژه تلفنی و غیرحضوری برای کلیه استان ها امکان تسویه زودتر از موعد باحذف سود سند۶دونگ به نام اسنپ رایگان تا نمایندگی با بهترین سرویس ها درخدمت شما عزیزانیم شعبه مرکزی نیایش ,0.0,2.0,4 سیلندر توربوشارژ (4J20),7.6,6.8
https://bama.ir/car/detail-14ukhrey-mvm-x33cross-at-1403,Mvm X33Cross At,2024,تهران / نیایش غرب,1083200000.0,توضیحات:  نمایندگی های پورسعیدخلیلی: :نمایندگی کد ۳۴۲ مدیران خودرو :zap:با بزرگترین شعب فروش و خدمات پس از فروش به همراه بهترین امکانات برای شما مشتریان عزیز :فروش ویژه تلفنی و غیرحضوری برای کلیه استان ها امکان تسویه زودتر از موعد باحذف سود:سند۶دونگ به نام اسنپ رایگان تا نمایندگی :با بهترین سرویس ها درخدمت شما عزیزانیم شعبه مرکزی نیایش,0.0,1.0,3 سیلندر توربوشارژ,,6.1
https://bama.ir/car/detail-yb3pzc6g-peugeot-pars-lx-1400,Peugeot Pars Lx,2021,بوئین زهرا,855000000.0,No description,3400.0,1.6,4 سیلندر TU5,13.2,7.5
https://bama.ir/car/detail-xftcnezk-fownix-tiggo8promax-ie-1403,Fownix Tiggo8Promax Ie,2024,تهران / نیایش غرب,3124700000.0,توضیحات نمایندگی های پورسعیدخلیلی: نمایندگی کد ۳۴۲ مدیران خودرو با بزرگترین شعب فروش و خدمات پس از فروش به همراه بهترین امکانات برای شما مشتریان عزیز فروش ویژه تلفنی و غیرحضوری برای کلیه استان ها امکان تسویه زودتر از موعد باحذف سود سند۶دونگ به نام اسنپ رایگان تا نمایندگی با بهترین سرویس ها درخدمت شما عزیزانیم :zap:شعبه مرکزی نیایش,0.0,2.0,4 سیلندر توربوشارژ (4J20),8.1,7.9
